metric_id,metric_name,display_name,display_order,metric_type,pnl_section,sign_convention,unit_type,decimal_places,format_string,dax_reference,description,is_kpi,category_group
1,Total Revenue,Revenue,10,Component,Revenue,Positive,Currency,0,"#,##0;(#,##0)",[Total Revenue],"Total revenue from all operating segments — postal, parcel, aviation, logistics, retail",TRUE,Profitability
2,Total Direct Cost,Direct Cost,20,Component,Operating,Negative,Currency,0,"#,##0;(#,##0)",[Total Direct Cost],"Variable costs directly attributable to revenue — linehaul, fuel, last-mile, COGS",FALSE,Profitability
3,Gross Profit,Gross Profit,30,Subtotal,Revenue,Net,Currency,0,"#,##0;(#,##0)",[Gross Profit],Revenue minus direct costs — measures unit economics and pricing power,TRUE,Profitability
4,Gross Profit Margin %,Gross Margin %,35,Subtotal,Revenue,Net,Percentage,1,0.0%;(0.0%),[Gross Profit Margin %],Gross profit as a percentage of revenue — pricing health indicator,FALSE,Profitability
5,Total Staff Cost,Staff Cost,40,Component,Operating,Negative,Currency,0,"#,##0;(#,##0)",[Total Staff Cost],"All employee-related costs — salaries, benefits, EPF, training",FALSE,Profitability
6,Total OPEX,OPEX,50,Component,Operating,Negative,Currency,0,"#,##0;(#,##0)",[Total OPEX],"Operating expenses excluding direct costs and staff — rent, utilities, IT, marketing, insurance, D&A",FALSE,Profitability
7,Total D&A,D&A,55,Component,Operating,Negative,Currency,0,"#,##0;(#,##0)",[Total D&A],Depreciation and amortization — non-cash charge representing asset consumption,FALSE,Profitability
8,EBITDA,EBITDA,60,Subtotal,Operating,Net,Currency,0,"#,##0;(#,##0)",[EBITDA],"Earnings before interest, tax, depreciation, and amortization — proxy for cash from operations",TRUE,Profitability
9,EBITDA Margin %,EBITDA Margin %,65,Subtotal,Operating,Net,Percentage,1,0.0%;(0.0%),[EBITDA Margin %],EBITDA as a percentage of revenue — operational profitability without capital structure effects,FALSE,Profitability
10,EBIT,EBIT,70,Subtotal,Operating,Net,Currency,0,"#,##0;(#,##0)",[EBIT],Earnings before interest and tax — operating profit including D&A,TRUE,Profitability
11,EBIT Margin %,EBIT Margin %,75,Subtotal,Operating,Net,Percentage,1,0.0%;(0.0%),[EBIT Margin %],EBIT as a percentage of revenue — accounting operating profitability,FALSE,Profitability
12,Total Interest Expense,Interest Expense,80,Component,Below-Line,Negative,Currency,0,"#,##0;(#,##0)",[Total Interest Expense],Cost of debt financing — interest on borrowings,FALSE,Profitability
13,Total FX Gain Loss,FX Gain/(Loss),85,Component,Below-Line,Net,Currency,0,"#,##0;(#,##0)",[Total FX Gain Loss],"Foreign exchange impact — gains positive, losses negative",FALSE,Profitability
14,Profit Before Tax,Profit Before Tax,90,Subtotal,Below-Line,Net,Currency,0,"#,##0;(#,##0)",[Profit Before Tax],EBIT less interest plus FX — earnings before tax provision,FALSE,Profitability
15,Total Tax Expense,Tax Expense,95,Component,Below-Line,Negative,Currency,0,"#,##0;(#,##0)",[Total Tax Expense],Corporate income tax provision — typically 22-24% of taxable profit in Malaysia,FALSE,Profitability
16,Net Profit,Net Profit,100,Subtotal,Profit,Net,Currency,0,"#,##0;(#,##0)",[Net Profit],Bottom-line profit attributable to shareholders — final P&L line,TRUE,Profitability
17,Net Profit Margin %,Net Profit Margin %,105,Subtotal,Profit,Net,Percentage,1,0.0%;(0.0%),[Net Profit Margin %],Net profit as a percentage of revenue — overall profitability ratio,FALSE,Profitability
18,Revenue Actual,Revenue (AC),200,Scenario,Revenue,Positive,Currency,0,"#,##0;(#,##0)",[Revenue Actual],Revenue locked to Actual scenario — used in side-by-side comparisons,FALSE,Scenario
19,Revenue Budget,Revenue (BU),210,Scenario,Revenue,Positive,Currency,0,"#,##0;(#,##0)",[Revenue Budget],Revenue locked to Budget scenario — annual plan baseline,FALSE,Scenario
20,Revenue Forecast,Revenue (FC),220,Scenario,Revenue,Positive,Currency,0,"#,##0;(#,##0)",[Revenue Forecast],Revenue locked to Forecast scenario — rolling re-forecast view,FALSE,Scenario
21,Revenue Prior Year,Revenue (PY),230,Scenario,Revenue,Positive,Currency,0,"#,##0;(#,##0)",[Revenue Prior Year],Revenue locked to Prior Year scenario — same period last year,FALSE,Scenario
22,EBIT Actual,EBIT (AC),240,Scenario,Operating,Net,Currency,0,"#,##0;(#,##0)",[EBIT Actual],EBIT locked to Actual scenario,FALSE,Scenario
